Number,Region,Latin,Abbreviation,File,File2
1,No label,No label,NoLabel,NoFile,NoFile
2,frontal gyrus L,gyrus frontalis L ,frontal gyrus L,L_gFrontalis.nii.gz,L_gFrontalis
3,frontal gyrus R,gyrus frontalis R ,frontal gyrus R,R_gFrontalis.nii.gz,R_gFrontalis
4,proreus gyrus L,gyrus proreus L ,proreus gyrus L,L_gProreus.nii.gz,L_gProreus
5,proreus gyrus R,gyrus proreus R ,proreus gyrus R,R_gProreus.nii.gz,R_gProreus
6,composite gyrus L rCG,gyrus compositus rostralis L rCG,L rCG,L_gCompositusRostralis.nii.gz,L_gCompositusRostralis
7,composite gyrus R rCG,gyrus compositus rostralis R rCG,R rCG,R_gCompositusRostralis.nii.gz,R_gCompositusRostralis
8,precruciate gyrus L,gyrus precruciatus L ,precruciate gyrus L,L_gPrecruciatus.nii.gz,L_gPrecruciatus
9,precruciate gyrus R,gyrus precruciatus R ,precruciate gyrus R,R_gPrecruciatus.nii.gz,R_gPrecruciatus
10,postcruciate gyrus L,gyrus postcruciatus L ,postcruciate gyrus L,L_gPostcruciatus.nii.gz,L_gPostcruciatus
11,postcruciate gyrus R,gyrus postcruciatus R ,postcruciate gyrus R,R_gPostcruciatus.nii.gz,R_gPostcruciatus
12,marginal gyrus L MG,gyrus marginalis L MG,L MG,L_gMarginalis.nii.gz,L_gMarginalis
13,marginal gyrus R MG,gyrus marginalis R MG,R MG,R_gMarginalis.nii.gz,R_gMarginalis
14,ectomarginal gyrus L EMG,gyrus ectomarginalis L EMG,L EMG,L_gEctomarginalis.nii.gz,L_gEctomarginalis
15,ectomarginal gyrus R EMG,gyrus ectomarginalis R EMG,R EMG,R_gEctomarginalis.nii.gz,R_gEctomarginalis
16,occipital gyrus L,gyrus occipitalis L ,occipital gyrus L,L_gOccipitalis.nii.gz,L_gOccipitalis
17,occipital gyrus R,gyrus occipitalis R ,occipital gyrus R,R_gOccipitalis.nii.gz,R_gOccipitalis
18,rostral suprasylvian gyrus L rSSG,gyrus suprasylvius rostralis L rSSG,L rSSG,L_gSuprasylviusRostralis.nii.gz,L_gSuprasylviusRostralis
19,rostral suprasylvian gyrus R rSSG,gyrus suprasylvius rostralis R rSSG,R rSSG,R_gSuprasylviusRostralis.nii.gz,R_gSuprasylviusRostralis
20,mid suprasylvian gyrus L mSSG,gyrus suprasylvius medius L mSSG,L mSSG,L_gSuprasylviusMedius.nii.gz,L_gSuprasylviusMedius
21,mid suprasylvian gyrus R mSSG,gyrus suprasylvius medius R mSSG,R mSSG,R_gSuprasylviusMedius.nii.gz,R_gSuprasylviusMedius
22,caudal suprasylvian gyrus L cSSG,gyrus suprasylvius caudalis L cSSG,L cSSG,L_gSuprasylviusCaudalis.nii.gz,L_gSuprasylviusCaudalis
23,caudal suprasylvian gyrus R cSSG,gyrus suprasylvius caudalis R cSSG,R cSSG,R_gSuprasylviusCaudalis.nii.gz,R_gSuprasylviusCaudalis
24,rostral ectosylvian gyrus L rESG,gyrus ectosylvius rostralis L rESG,L rESG,L_gEctosylviusRostralis.nii.gz,L_gEctosylviusRostralis
25,rostral ectosylvian gyrus R rESG,gyrus ectosylvius rostralis R rESG,R rESG,R_gEctosylviusRostralis.nii.gz,R_gEctosylviusRostralis
26,mid ectosylvian gyrus L mESG,gyrus ectosylvius medius L mESG,L mESG,L_gEctosylviusMedius.nii.gz,L_gEctosylviusMedius
27,mid ectosylvian gyrus R mESG,gyrus ectosylvius medius R mESG,R mESG,R_gEctosylviusMedius.nii.gz,R_gEctosylviusMedius
28,caudal ectosylvian gyrus L cESG,gyrus ectosylvius caudalis L cESG,L cESG,L_gEctosylviusCaudalis.nii.gz,L_gEctosylviusCaudalis
29,caudal ectosylvian gyrus R cESG,gyrus ectosylvius caudalis R cESG,R cESG,R_gEctosylviusCaudalis.nii.gz,R_gEctosylviusCaudalis
30,rostral sylvian gyrus L SG,gyrus sylvius rostralis L rSG,L rSG,L_gSylviusRostralis.nii.gz,L_gSylviusRostralis
31,rostral sylvian gyrus R SG,gyrus sylvius rostralis R rSG,R rSG,R_gSylviusRostralis.nii.gz,R_gSylviusRostralis
32,caudal sylvian gyrus L cSG,gyrus sylvius caudalis L cSG,L cSG,L_gSylviusCaudalis.nii.gz,L_gSylviusCaudalis
33,caudal sylvian gyrus R cSG,gyrus sylvius caudalis R cSG,R cSG,R_gSylviusCaudalis.nii.gz,R_gSylviusCaudalis
34,caudal composite gyrus L,gyrus compositus caudalis L,caudal composite gyrus L,L_gCompositusCaudalis.nii.gz,L_gCompositusCaudalis
35,caudal composite gyrus R,gyrus compositus caudalis R,caudal composite gyrus R,R_gCompositusCaudalis.nii.gz,R_gCompositusCaudalis
36,rectus gyrus L RG,gyrus rectus L RG,L RG,L_gRectus.nii.gz,L_gRectus
37,rectus gyrus R RG,gyrus rectus R RG,R RG,R_gRectus.nii.gz,R_gRectus
38,genual gyrus L,gyrus genualis L ,genual gyrus L,L_gGenualis.nii.gz,L_gGenualis
39,genual gyrus R,gyrus genualis R ,genual gyrus R,R_gGenualis.nii.gz,R_gGenualis
40,subcallosa area L,area subcallosa L ,subcallosa area L,L_aSubcallosa.nii.gz,L_aSubcallosa
41,subcallosa area R,area subcallosa R ,subcallosa area R,R_aSubcallosa.nii.gz,R_aSubcallosa
42,cingulate gyrus L CG,gyrus cinguli L CG,L CG,L_gCinguli.nii.gz,L_gCinguli
43,cingulate gyrus R CG,gyrus cinguli R CG,R CG,R_gCinguli.nii.gz,R_gCinguli
44,presplenial gyrus L,gyrus presplenialis L ,presplenial gyrus L,L_gPresplenialis.nii.gz,L_gPresplenialis
