Abbrev.,Full Name,Gyri,Lobe,Left Volume (mm^3),Right Volume (mm^3)
FCM,Area fissurae calloso-marginalis,,Cingulate,274,280
GII,Area genualis II,Genualis Gyrus,Cingulate,934,972
GI,Area genualis I,Genualis Gyrus,Cingulate,175,179
LADII,Area limbica anterior dorsalis II,Anterior Cingulate Gyrus,Cingulate,195,189
LADI,Area limbica anterior dorsalis I,Anterior Cingulate Gyrus,Cingulate,310,310
LAL,Area limbica anterior lateralis,Cingulate Gyrus,Cingulate,474,473
LAV,Area limbica anterior ventralis,Anterior Cingulate Gyrus,Cingulate,527,504
LM,Area limbica media,Cingulate Gyrus,Cingulate,819,651
LPDII,Area limbica posterior dorsalis II,Posterior Cingulate Gyrus,Cingulate,905,828
LPDI,Area limbica posterior dorsalis I,Posterior Cingulate Gyrus,Cingulate,1023,968
LPL,Area limbica posterior lateralis,Posterior Cingulate Gyrus,Cingulate,511,496
LPVII,Area limbica posterior ventralis II,Posterior Cingulate Gyrus,Cingulate,539,551
LPVI,Area limbica posterior ventralis I,Posterior Cingulate Gyrus,Cingulate,599,621
SCII,Area subcallosa II,Subcallosus Gyrus,Cingulate,216,205
SCI,Area subcallosa I,Subcallosus Gyrus,Cingulate,553,569
FRh,Area fissurae orbitalis,Orbital Gyrus,Frontal,555,651
ORBII,Area orbitalis II,Orbital Gyrus,Frontal,2561,2599
ORBI,Area orbitalis I,Orbital Gyrus,Frontal,3353,3170
PGIII,Area pregenualis III,Pregenual Gyrus,Frontal,826,807
PGII,Area pregenualis II,Pregenual Gyrus,Frontal,983,834
PGI,Area pregenualis I,Pregenual Gyrus,Frontal,150,162
POL,Area Polaris,Gyrus Proreus,Frontal,784,832
PORD,Area paraorbitalis dorsalis,Orbital Gyrus,Frontal,713,743
PORV,Area paraorbitalis ventralis,Orbital Gyrus,Frontal,563,555
PRLII,Area prorealis lateralis II,Gyrus Proreus,Frontal,2838,3042
PRLI,Area Prorealis lateralis I,Gyrus Proreus,Frontal,459,508
PR,area prorealis,Gyrus Proreus,Frontal,457,464
SG,Area subgenualis ,Pregenual Gyrus,Frontal,737,617
SPRII,Area Subprorealis II,Gyrus Subproreus,Frontal,1343,1376
SPRI,Area Subprorealis I,Gyrus Subproreus,Frontal,664,617
SPRLII,Area Subprorealis Lateralis II,Gyrus Subproreus,Frontal,436,495
SPRLI,Area Subprorealis lateralis I,Gyrus Subproreus,Frontal,272,274
BP,Area entolateralis posterior,Entolateral Gyrus,Occiptal,4891,4818
FLO,Area fissurae lateralis occipital,Lateral Fissure ,Occiptal,2173,1993
FO,Area fissurae suprasplenialis,Marginal Gyrus,Occiptal,732,577
FQP,Area fissurea ectolateralis,Ectolateral Gyrus,Occiptal,1004,830
FQ,Area fissurea ectolateralis posterior,Ectolateral Gyrus,Occiptal,608,659
FR,Area fissurea retrosplenialis,Medial Occipital Gyrus,Occiptal,3164,3199
FRc,Area fissurea recurrentis,Medial Occipital Gyrus,Occiptal,1591,1346
