sub_N,session,run_N,bold,slice_timing,events,eyetracker
1,01,05,True,True,True,True
1,02,06,True,True,True,True
1,03,02,True,True,True,True
1,03,04,True,True,True,True
1,04,03,True,True,True,True
1,05,01,True,True,True,True
1,05,03,True,True,True,True
3,01,06,True,True,True,True
3,02,01,True,True,True,True
3,02,03,True,True,True,True
3,03,04,True,True,True,True
3,03,05,True,True,True,True
3,05,02,True,True,True,True
4,01,02,True,True,True,True
4,02,01,True,True,True,True
4,03,04,True,True,True,True
4,03,06,True,True,True,True
4,04,03,True,True,True,True
4,04,05,True,True,True,True
5,01,05,True,True,True,True
5,02,04,True,True,True,True
5,03,01,True,True,True,True
5,03,02,True,True,True,True
5,03,03,True,True,True,False
5,03,06,True,True,True,True
6,01,06,True,True,True,True
6,02,01,True,True,True,True
6,03,02,True,True,True,True
6,03,03,True,True,True,True
6,04,04,True,True,True,True
6,04,05,True,True,True,True
7,01,02,True,True,True,True
7,02,01,True,True,True,True
7,02,06,True,True,True,True
7,03,05,True,True,True,True
7,04,03,True,True,True,True
7,04,04,True,True,True,True
8,02,01,True,True,True,True
8,02,05,True,True,True,True
8,03,02,True,True,True,True
8,03,03,True,True,True,True
8,03,04,True,True,True,True
8,03,06,True,True,True,True
9,01,01,True,True,True,True
9,01,05,True,True,True,True
9,02,04,True,True,True,True
9,02,06,True,True,True,True
9,03,02,True,True,True,True
9,03,03,True,True,True,True
10,01,03,True,True,True,True
10,01,05,True,True,True,True
10,02,01,True,True,True,True
10,02,06,True,True,True,True
10,03,02,True,True,True,True
10,03,04,True,True,True,True
11,01,01,True,True,True,True
11,01,02,True,True,True,True
11,02,06,True,True,True,True
11,04,04,True,True,True,True
11,05,03,True,True,True,True
11,05,05,True,True,True,True
13,01,03,True,True,True,False
13,02,02,True,True,True,True
13,02,06,True,True,True,True
13,03,04,True,True,True,True
13,03,05,True,True,True,True
13,04,01,True,True,True,True
14,01,02,True,True,True,True
14,01,03,True,True,True,True
14,01,04,True,True,True,True
14,01,06,True,True,True,True
14,02,01,True,True,True,True
14,02,05,True,True,True,True
19,01,02,True,True,True,True
19,01,03,True,True,True,True
19,01,05,True,True,True,True
19,02,01,True,True,True,True
19,02,04,True,True,True,True
19,02,06,True,True,True,True
21,01,01,True,True,True,True
21,01,03,True,True,True,True
21,01,05,True,True,True,True
21,02,02,True,True,True,True
21,02,04,True,True,True,True
21,02,06,True,True,True,True
22,01,06,True,True,True,True
22,02,05,True,True,True,True
22,03,01,True,True,True,True
22,04,04,True,True,True,True
22,05,03,True,True,True,False
22,06,02,True,True,True,True
24,01,04,True,True,True,True
24,02,02,True,True,True,True
24,03,01,True,True,True,True
24,04,05,True,True,True,False
24,04,06,True,True,True,False
24,05,03,True,True,True,True
24,05,04,True,True,True,True
