sub_N,session,run_N,bold,slice_timing,events,eyetracker
1,1,1,FALSE,FALSE,FALSE,FALSE
1,1,2,FALSE,FALSE,FALSE,FALSE
1,1,3,FALSE,FALSE,FALSE,FALSE
1,1,4,FALSE,FALSE,FALSE,FALSE
1,1,5,FALSE,FALSE,FALSE,FALSE
1,1,6,FALSE,FALSE,FALSE,FALSE
2,1,1,FALSE,FALSE,FALSE,FALSE
2,1,2,FALSE,FALSE,FALSE,FALSE
2,1,3,FALSE,FALSE,FALSE,FALSE
2,1,4,FALSE,FALSE,FALSE,FALSE
2,1,5,FALSE,FALSE,FALSE,FALSE
2,1,6,FALSE,FALSE,FALSE,FALSE
3,1,1,FALSE,FALSE,FALSE,FALSE
3,1,2,FALSE,FALSE,FALSE,FALSE
3,1,3,FALSE,FALSE,FALSE,FALSE
3,1,4,FALSE,FALSE,FALSE,FALSE
3,1,5,FALSE,FALSE,FALSE,FALSE
3,1,6,FALSE,FALSE,FALSE,FALSE
4,1,1,FALSE,FALSE,FALSE,FALSE
4,1,2,FALSE,FALSE,FALSE,FALSE
4,1,3,FALSE,FALSE,FALSE,FALSE
4,1,4,FALSE,FALSE,FALSE,FALSE
4,1,5,FALSE,FALSE,FALSE,FALSE
4,1,6,FALSE,FALSE,FALSE,FALSE
5,1,1,FALSE,FALSE,FALSE,FALSE
5,1,2,FALSE,FALSE,FALSE,FALSE
5,1,3,FALSE,FALSE,FALSE,FALSE
5,1,4,FALSE,FALSE,FALSE,FALSE
5,1,5,FALSE,FALSE,FALSE,FALSE
5,1,6,FALSE,FALSE,FALSE,FALSE
6,1,1,FALSE,FALSE,FALSE,FALSE
6,1,2,FALSE,FALSE,FALSE,FALSE
6,1,3,FALSE,FALSE,FALSE,FALSE
6,1,4,FALSE,FALSE,FALSE,FALSE
6,1,5,FALSE,FALSE,FALSE,FALSE
6,1,6,FALSE,FALSE,FALSE,FALSE
7,1,1,FALSE,FALSE,FALSE,FALSE
7,1,2,FALSE,FALSE,FALSE,FALSE
7,1,3,FALSE,FALSE,FALSE,FALSE
7,1,4,FALSE,FALSE,FALSE,FALSE
7,1,5,FALSE,FALSE,FALSE,FALSE
7,1,6,FALSE,FALSE,FALSE,FALSE
8,1,1,FALSE,FALSE,FALSE,FALSE
8,1,2,FALSE,FALSE,FALSE,FALSE
8,1,3,FALSE,FALSE,FALSE,FALSE
8,1,4,FALSE,FALSE,FALSE,FALSE
8,1,5,FALSE,FALSE,FALSE,FALSE
8,1,6,FALSE,FALSE,FALSE,FALSE
9,1,1,FALSE,FALSE,FALSE,FALSE
9,1,2,FALSE,FALSE,FALSE,FALSE
9,1,3,FALSE,FALSE,FALSE,FALSE
9,1,4,FALSE,FALSE,FALSE,FALSE
9,1,5,FALSE,FALSE,FALSE,FALSE
9,1,6,FALSE,FALSE,FALSE,FALSE
10,1,1,FALSE,FALSE,FALSE,FALSE
10,1,2,FALSE,FALSE,FALSE,FALSE
10,1,3,FALSE,FALSE,FALSE,FALSE
10,1,4,FALSE,FALSE,FALSE,FALSE
10,1,5,FALSE,FALSE,FALSE,FALSE
10,1,6,FALSE,FALSE,FALSE,FALSE
11,1,1,FALSE,FALSE,FALSE,FALSE
11,1,2,FALSE,FALSE,FALSE,FALSE
11,1,3,FALSE,FALSE,FALSE,FALSE
11,1,4,FALSE,FALSE,FALSE,FALSE
11,1,5,FALSE,FALSE,FALSE,FALSE
11,1,6,FALSE,FALSE,FALSE,FALSE
12,1,1,FALSE,FALSE,FALSE,FALSE
12,1,2,FALSE,FALSE,FALSE,FALSE
12,1,3,FALSE,FALSE,FALSE,FALSE
12,1,4,FALSE,FALSE,FALSE,FALSE
12,1,5,FALSE,FALSE,FALSE,FALSE
12,1,6,FALSE,FALSE,FALSE,FALSE
13,1,1,FALSE,FALSE,FALSE,FALSE
13,1,2,FALSE,FALSE,FALSE,FALSE
13,1,3,FALSE,FALSE,FALSE,FALSE
13,1,4,FALSE,FALSE,FALSE,FALSE
13,1,5,FALSE,FALSE,FALSE,FALSE
13,1,6,FALSE,FALSE,FALSE,FALSE
14,1,1,FALSE,FALSE,FALSE,FALSE
14,1,2,FALSE,FALSE,FALSE,FALSE
14,1,3,FALSE,FALSE,FALSE,FALSE
14,1,4,FALSE,FALSE,FALSE,FALSE
14,1,5,FALSE,FALSE,FALSE,FALSE
14,1,6,FALSE,FALSE,FALSE,FALSE
15,1,1,FALSE,FALSE,FALSE,FALSE
15,1,2,FALSE,FALSE,FALSE,FALSE
15,1,3,FALSE,FALSE,FALSE,FALSE
15,1,4,FALSE,FALSE,FALSE,FALSE
15,1,5,FALSE,FALSE,FALSE,FALSE
15,1,6,FALSE,FALSE,FALSE,FALSE
16,1,1,FALSE,FALSE,FALSE,FALSE
16,1,2,FALSE,FALSE,FALSE,FALSE
16,1,3,FALSE,FALSE,FALSE,FALSE
16,1,4,FALSE,FALSE,FALSE,FALSE
16,1,5,FALSE,FALSE,FALSE,FALSE
16,1,6,FALSE,FALSE,FALSE,FALSE
17,1,1,FALSE,FALSE,FALSE,FALSE
